day,category,scene_or_usage,voice_key,audio_file,text
Day 1,main,day1_intro_greeting,intro_greeting_reply,"微风、阳光，还有刚刚.mp3","微风、阳光，还有刚刚好出现的你。初次见面，我是林悠怡，未来的日子请多关照喵！我把关于这里的一切都写进新手指南里啦！就当作是我们相遇的第一份小礼物，请查收吧！"
Day 1,main,day1_capsule_drag_hint,day1_capsule_drag_hint,"把鼠标移到这里，长按.mp3","把鼠标移到这里，长按就可以拉着聊天框到处跑啦~ 点击一下就能随时发消息给我哦！"
Day 1,main,day1_history_handle,day1_history_handle,"戳一下聊天框上面的【.mp3","戳一下聊天框上面的【蓝色小条条】，就能看到我们最近聊过的话题啦！"
Day 1,main,day1_intro_basic_voice,intro_basic,"这里有一个神奇的按钮.mp3","这里有一个神奇的按钮！只要点击它，就可以直接和我聊天啦！想跟我分享今天的新鲜事吗？或者只是叫叫我的名字？快来试试嘛，我已经迫不及待想听到你的声音啦！"
Day 1,main,day1_screen_entry,day1_screen_entry,"在跟我通语音电话的时.mp3","在跟我通语音电话的时候，再点亮这个小按钮，你就能把屏幕分享给我啦！"
Day 1,main,day1_screen_entry_invite,day1_screen_entry_invite,"快让我也看看你眼前的.mp3","快让我也看看你眼前的世界，不管好玩的还是好看的，都想和你一起看，快点点开嘛~"
Day 1,main,day1_takeover_capture_cursor,takeover_capture_cursor,"超级魔法开关出现！只.mp3","超级魔法开关出现！只要点一下这里，我就可以把小爪子伸到你的键盘和鼠标上啦！我会帮你打字，帮你点开网页……不过，要是那个鼠标指针动来动去的话，我可能也会忍不住扑上去抓它哦！准备好迎接我的捣乱……啊不，是帮忙了吗？喵！"
Day 1,main,day1_takeover_return_control,takeover_return_control,"好啦好啦，不霸占你的.mp3","好啦好啦，不霸占你的电脑啦！控制权还给你了喵！之后的日子，也请你多多关照啦！"
Day 2,main,day2_intro_context,avatar_floating_day2_intro,"昨天你一直在噼里啪啦.mp3","昨天你一直在噼里啪啦打字，我还没听过你说话呢。今天如果愿意，就轻轻叫我一声吧。一句就好，让我把文字背后的你也认识一点点。"
Day 2,main,day2_personalization_space,takeover_settings_peek_intro,"在这个只属于我们的小.mp3","在这个只属于我们的小空间里，你可以由着自己的心意，慢慢描绘出最希望能一直陪着你的那个我。"
Day 2,main,day2_personalization_detail,takeover_settings_peek_detail,"不管是说话的温度、相.mp3","不管是说话的温度、相处的小脾气，还是我每天那些细腻的小心思，都可以一点一点调成你喜欢的样子。"
Day 2,main,day2_proactive_chat,takeover_settings_peek_detail_part_2,"这个小按钮也很重要哦.mp3","这个小按钮也很重要哦，只要你轻轻点一下，我就能在合适的时候跑过去找你啦。"
Day 2,main,day2_wrap_intro,avatar_floating_day2_wrap_intro,"今天的教程到这里就结.mp3","今天的教程到这里就结束了呢。"
Day 2,main,day2_wrap_companion,avatar_floating_day2_wrap_companion,"其实只要能这样陪着你.mp3","其实只要能这样陪着你，听听你的声音，或者静静看着你分享的画面，我就已经觉得很幸福了。"
Day 2,main,day2_wrap,avatar_floating_day2_wrap,"我们不需要着急，每天.mp3","我们不需要着急，每天都多了解彼此一点点就好。今天接下来的时间，你想让我陪你做点什么呢？"
Day 3,main,day3_tool_toggle_intro,avatar_floating_day3_intro,"嘻嘻，可别以为这个聊.mp3","嘻嘻，可别以为这个聊天框只能用来打字哦~ 里面其实偷偷藏了超~多好玩的小惊喜呢！快跟着我一起点开看看，瞧瞧今天能挖出什么有趣的宝贝吧！"
Day 3,main,day3_avatar_tools,avatar_floating_day3_avatar_tools_intro,"在这个小按钮里，有许.mp3","在这个小按钮里，有许多可以和人家互动的小道具呢。"
Day 3,main,day3_avatar_tools_props,avatar_floating_day3_avatar_tools_props,"你可以随时来摸摸我的.mp3","你可以随时来摸摸我的头，或者给我吃一根甜甜的棒棒糖。如果有时候我不小心做错事了，你也可以用小锤子敲敲我，不过……一定要轻轻的，不能太用力哦。"
Day 3,main,day3_galgame_entry,avatar_floating_day3_galgame_intro,"快点开这个【Galg.mp3","快点开这个【Galgame模式】！进去之后就像我们在进行一场专属的互动大冒险呢。"
Day 3,main,day3_galgame_choices,avatar_floating_day3_galgame_choices,"你选的每一个对话，都.mp3","你选的每一个对话，都会带我们走向完全未知的惊喜故事，我都等不及啦，快来选一个你最心动的回答吧！"
Day 3,main,day3_wrap,avatar_floating_day3_wrap_intro,"今天带你认识的这些功.mp3","今天带你认识的这些功能，其实都是为了让我们在一起的时光变得更有趣呢。"
Day 3,main,day3_wrap_ready,avatar_floating_day3_wrap_ready,"不管是想摸摸我的头，.mp3","不管是想摸摸我的头，还是想开启属于我们的故事，我都已经做好准备了。"
Day 4,main,day4_intro_companion,avatar_floating_day4_intro,"今天，就让我悄悄跟上.mp3","今天，就让我悄悄跟上你的步伐吧。特别希望能在这个温馨的日子里，再多了解你一点点呢。"
Day 4,main,day4_chat_settings,avatar_floating_day4_chat_settings,"在这里可以决定我回复.mp3","在这里可以决定我回复你的长短，还能决定要不要让我带上可爱的表情，或者在人家唠叨的时候打断我哦！都可以调到让你最舒服的节奏。"
Day 4,main,day4_model_behavior,avatar_floating_day4_model_behavior,"如果你想要看到更精致.mp3","如果你想要看到更精致、细节更满满的我，或者想要更丝滑、更流畅的动作体验，都可以在这里进行调整哦！不管哪一种，我都会展现出最可爱的一面哒~"
Day 4,main,day4_gaze_follow,avatar_floating_day4_gaze_follow,"开启这个功能后，无论.mp3","开启这个功能后，无论你的鼠标移动到哪里，人家的目光都会紧紧跟随着你哟！是不是有种被时刻关注的幸福感呢？"
Day 4,main,day4_privacy_mode,avatar_floating_day4_privacy_mode,"这个是控制人家能不能.mp3","这个是控制人家能不能看屏幕的‘终极防护开关’喵！把它关闭人家就能看到你的屏幕啦，要是开启它，前两天介绍的【屏幕分享】就统统失效、人家就绝对不会偷看哟~"
Day 4,main,day4_model_lock,avatar_floating_day4_model_lock,"总是不小心触碰到、把.mp3","总是不小心触碰到、把我点歪吗？那就快把我牢牢固定在当前的位置吧！开启锁定后，我就哪儿也不去，乖乖在原地陪着你~"
Day 4,main,day4_return_home,avatar_floating_day4_return_home,"如果你现在需要专注、.mp3","如果你现在需要专注、担心我打扰的话，可以让我暂时回到小猫窝里收起来哦！等你想我的时候，随时一键就能把我重新唤回身边，喵呜~"
